image_path,image_type
data/Cloud/cloud_1.tif,Cloud
data/Cloud/cloud_10.tif,Cloud
data/Cloud/cloud_100.tif,Cloud
data/Cloud/cloud_1000.tif,Cloud
data/Cloud/cloud_1001.tif,Cloud
data/Cloud/cloud_1002.tif,Cloud
data/Cloud/cloud_1003.tif,Cloud
data/Cloud/cloud_1004.tif,Cloud
data/Cloud/cloud_1005.tif,Cloud
data/Cloud/cloud_1006.tif,Cloud
data/Cloud/cloud_1007.tif,Cloud
data/Cloud/cloud_1008.tif,Cloud
data/Cloud/cloud_1009.tif,Cloud
data/Cloud/cloud_101.tif,Cloud
data/Cloud/cloud_1010.tif,Cloud
data/Cloud/cloud_1011.tif,Cloud
data/Cloud/cloud_1012.tif,Cloud
data/Cloud/cloud_1013.tif,Cloud
data/Cloud/cloud_1014.tif,Cloud
data/Cloud/cloud_1015.tif,Cloud
data/Cloud/cloud_1016.tif,Cloud
data/Cloud/cloud_1017.tif,Cloud
data/Cloud/cloud_1018.tif,Cloud
data/Cloud/cloud_1019.tif,Cloud
data/Cloud/cloud_102.tif,Cloud
data/Cloud/cloud_1020.tif,Cloud
data/Cloud/cloud_1021.tif,Cloud
data/Cloud/cloud_1022.tif,Cloud
data/Cloud/cloud_1023.tif,Cloud
data/Cloud/cloud_1024.tif,Cloud
data/Cloud/cloud_1025.tif,Cloud
data/Cloud/cloud_1026.tif,Cloud
data/Cloud/cloud_1027.tif,Cloud
data/Cloud/cloud_1028.tif,Cloud
data/Cloud/cloud_1029.tif,Cloud
data/Cloud/cloud_103.tif,Cloud
data/Cloud/cloud_1030.tif,Cloud
data/Cloud/cloud_1031.tif,Cloud
data/Cloud/cloud_1032.tif,Cloud
data/Cloud/cloud_1033.tif,Cloud
data/Cloud/cloud_1034.tif,Cloud
data/Cloud/cloud_1035.tif,Cloud
data/Cloud/cloud_1036.tif,Cloud
data/Cloud/cloud_1037.tif,Cloud
data/Cloud/cloud_1038.tif,Cloud
data/Cloud/cloud_1039.tif,Cloud
data/Cloud/cloud_104.tif,Cloud
data/Cloud/cloud_1040.tif,Cloud
data/Cloud/cloud_1041.tif,Cloud
data/Cloud/cloud_1042.tif,Cloud
data/Cloud/cloud_1043.tif,Cloud
data/Cloud/cloud_1044.tif,Cloud
data/Cloud/cloud_1045.tif,Cloud
data/Cloud/cloud_1046.tif,Cloud
data/Cloud/cloud_1047.tif,Cloud
data/Cloud/cloud_1048.tif,Cloud
data/Cloud/cloud_1049.tif,Cloud
data/Cloud/cloud_105.tif,Cloud
data/Cloud/cloud_1050.tif,Cloud
data/Cloud/cloud_1051.tif,Cloud
data/Cloud/cloud_1052.tif,Cloud
data/Cloud/cloud_1053.tif,Cloud
data/Cloud/cloud_1054.tif,Cloud
data/Cloud/cloud_1055.tif,Cloud
data/Cloud/cloud_1056.tif,Cloud
data/Cloud/cloud_1057.tif,Cloud
data/Cloud/cloud_1058.tif,Cloud
data/Cloud/cloud_1059.tif,Cloud
data/Cloud/cloud_106.tif,Cloud
data/Cloud/cloud_1060.tif,Cloud
data/Cloud/cloud_1061.tif,Cloud
data/Cloud/cloud_1062.tif,Cloud
data/Cloud/cloud_1063.tif,Cloud
data/Cloud/cloud_1064.tif,Cloud
data/Cloud/cloud_1065.tif,Cloud
data/Cloud/cloud_1066.tif,Cloud
data/Cloud/cloud_1067.tif,Cloud
data/Cloud/cloud_1068.tif,Cloud
data/Cloud/cloud_1069.tif,Cloud
data/Cloud/cloud_107.tif,Cloud
data/Cloud/cloud_1070.tif,Cloud
data/Cloud/cloud_1071.tif,Cloud
data/Cloud/cloud_1072.tif,Cloud
data/Cloud/cloud_1073.tif,Cloud
data/Cloud/cloud_1074.tif,Cloud
data/Cloud/cloud_1075.tif,Cloud
data/Cloud/cloud_1076.tif,Cloud
data/Cloud/cloud_1077.tif,Cloud
data/Cloud/cloud_1078.tif,Cloud
data/Cloud/cloud_1079.tif,Cloud
data/Cloud/cloud_108.tif,Cloud
data/Cloud/cloud_1080.tif,Cloud
data/Cloud/cloud_1081.tif,Cloud
data/Cloud/cloud_1082.tif,Cloud
data/Cloud/cloud_1083.tif,Cloud
data/Cloud/cloud_1084.tif,Cloud
data/Cloud/cloud_1085.tif,Cloud
data/Cloud/cloud_1086.tif,Cloud
data/Cloud/cloud_1087.tif,Cloud
data/Cloud/cloud_1088.tif,Cloud
